so2_data_quality,atmospheric_variability,aerosol_optical_depth
11,72.19,0.145
12,36.46,1.681
12,99.98,2.743
11,67.26,0.19
12,99.92,0.231
12,93.96,0.194
12,89.26,0.251
12,99.57,1.395
12,99.96,0.417
12,99.97,0.685
12,99.97,0.871
12,99.99,4.817
12,99.96,3.766
12,99.99,4.202
12,100.0,0.903
12,99.99,3.0
12,99.99,4.275
12,99.99,1.21
12,99.98,1.573
12,14.87,3.278
12,99.68,0.677
11,23.44,0.296
12,98.44,0.308
12,99.99,0.969
12,99.97,0.395
12,99.99,1.022
12,99.99,3.038
12,99.98,2.109
12,97.54,6.181
11,19.98,0.337
12,97.68,0.495
12,99.98,0.963
12,92.75,0.36
12,99.99,3.396
12,99.88,0.599
12,97.23,2.199
12,99.7,2.365
12,999.0,3.99
12,99.9,5.209
12,99.85,5.164
12,37.14,1.696
12,98.58,2.388
12,99.95,4.974
12,91.94,2.527
12,999.0,3.015
12,99.45,0.698
12,99.98,4.552
12,99.97,2.859
12,99.99,3.347
12,999.0,3.243
12,99.99,0.948
12,99.98,2.611
12,99.93,1.148
12,99.07,2.437
12,95.62,2.351
22,98.61,3.133
22,97.99,3.283
22,99.69,3.033
22,99.95,3.092
22,99.97,3.273
22,62.04,2.985
22,98.92,2.904
22,99.77,3.427
20,11.02,0.009
21,35.06,0.016
20,11.82,0.021
20,26.39,0.017
21,27.55,0.013
21,15.83,0.015
20,4.44,0.015
20,38.2,0.013
20,36.09,0.024
22,96.13,0.019
22,99.99,0.148
22,99.95,5.069
22,999.0,2.949
22,99.99,2.827
22,99.77,5.662
22,27.75,1.05
22,99.66,0.213
22,99.97,0.51
22,99.95,1.631
22,99.85,1.048
22,99.85,4.312
22,999.0,4.403
22,98.48,1.45
22,99.99,0.893
22,99.97,1.418
22,99.94,0.784
22,99.96,1.364
22,99.99,0.547
22,99.97,4.956
22,95.53,1.881
22,99.99,3.849
22,999.0,3.376
22,99.98,1.261
22,89.34,0.539
22,99.94,0.707
22,99.96,0.727
22,99.93,3.212
22,99.47,4.977
22,99.84,3.917
22,85.22,2.206
22,67.05,0.882
22,99.35,0.185
22,99.99,0.907
22,48.13,0.805
21,17.0,0.061
21,10.1,0.046
21,10.84,0.034
21,4.86,0.038
22,98.21,0.045
21,9.93,0.037
21,15.91,0.037
21,32.12,0.054
21,45.72,0.064
21,56.14,0.071
21,34.83,0.06
21,60.58,0.081
21,26.87,0.055
21,11.62,0.044
21,14.3,0.059
21,48.68,0.084
22,99.99,3.919
22,99.9,0.178
21,35.01,0.042
21,14.61,0.057
22,98.95,0.122
22,99.97,0.597
22,99.95,0.453
22,78.39,0.104
22,99.99,2.657
22,93.99,1.53
22,99.94,0.58
22,99.96,4.656
22,99.93,0.906
22,99.54,0.184
22,99.77,0.174
22,90.49,1.03
21,31.38,0.127
22,99.82,0.283
22,99.91,0.731
22,100.0,2.69
22,85.77,1.451
22,92.03,0.148
21,23.85,0.118
21,12.56,0.103
21,58.97,0.115
22,99.99,0.502
22,99.96,0.269
22,98.78,0.167
21,52.11,0.13
21,53.26,0.141
22,99.8,0.296
22,97.26,0.214
22,100.0,3.254
21,72.82,0.131
21,14.7,0.11
21,19.56,0.085
21,27.83,0.089
22,99.87,1.161
21,39.76,0.093
21,19.61,0.086
21,20.98,0.089
21,24.18,0.089
21,33.0,0.107
22,87.09,1.213
22,99.99,2.09
22,99.96,2.012
22,92.97,1.933
22,99.14,0.892
22,99.95,1.512
22,96.39,5.398
21,16.81,0.079
22,74.92,0.122
21,56.66,0.129
21,70.11,0.13
21,71.1,0.134
22,98.09,0.144
22,99.94,0.159
21,49.7,0.081
21,25.63,0.08
21,43.94,0.074
21,21.92,0.077
21,17.71,0.067
21,28.09,0.072
21,37.18,0.065
22,99.62,0.124
22,99.99,3.333
22,36.49,2.29
22,97.48,0.106
21,13.99,0.102
21,39.54,0.111
21,56.97,0.107
22,93.06,1.199
22,99.99,0.334
22,999.0,2.862
22,99.98,0.281
22,62.12,2.872
22,100.0,2.01
21,33.2,0.142
22,98.29,0.143
22,99.25,0.152
20,39.55,0.132
21,51.94,0.124
21,66.37,0.119
22,79.12,0.144
21,35.4,0.174
22,99.89,0.268
22,98.58,0.276
22,99.87,0.88
22,94.76,0.187
22,99.98,0.482
22,99.97,0.344
22,96.38,0.309
22,99.99,2.983
22,99.99,1.496
22,99.99,1.085
22,99.99,1.22
22,87.51,2.647
20,38.02,0.158
22,88.06,0.157
22,999.0,3.123
21,23.15,0.152
20,15.68,0.152
20,25.13,0.148
22,99.98,0.383
22,39.1,0.975
22,-154.74,2.682
22,99.96,0.527
21,56.85,0.224
22,73.03,0.166
22,99.92,0.218
22,99.99,1.213
22,99.99,0.753
22,99.95,4.338
22,-15.34,1.119
21,25.91,0.143
22,99.76,0.303
20,20.66,0.152
21,12.62,0.152
21,15.1,0.152
21,43.63,0.145
21,24.9,0.136
21,24.74,0.153
21,30.46,0.157
21,5.9,0.142
21,8.54,0.125
21,17.61,0.118
21,12.72,0.119
21,49.69,0.127
22,96.88,0.156
21,41.27,0.148
22,74.77,0.152
22,89.85,0.152
21,22.44,0.132
22,99.25,0.172
22,99.66,0.294
22,98.43,0.264
22,90.97,0.238
21,68.88,0.158
21,41.69,0.149
21,14.06,0.137
21,8.3,0.141
21,7.1,0.144
21,0.96,0.148
21,11.7,0.144
21,13.56,0.155
21,12.84,0.174
22,86.19,0.201
22,99.9,0.486
22,99.98,0.82
22,96.11,0.372
